,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
1088,Jarrones del Instituto de Estudios Fiscales,Monumento de la ciudad de Madrid,Avda Cardenal Herrera Oria 378,261 - Facultad Derecho,Avenida Complutense nº 23,2,3282,41
1089,Jarrones del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
1090,Jarrones jardines Palacio de El Pardo,Monumento de la ciudad de Madrid,CALLE MANUEL ALONSO 1,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8898,111
1091,Jean-Jacques Rousseau,Monumento de la ciudad de Madrid,Pza Salesas ,26 - Plaza de las Salesas,"Plaza de las Salesas 7,",6,56,0
1092,Jerónimo Iborra-García,Monumento de la ciudad de Madrid,CALLE DOCTOR JERONIMO IBORRA 16,350 - Calle de Ervigio,"Calle de Ervigio,",17,3027,37
1093,Jesús Guridi,Monumento de la ciudad de Madrid,C Sagasta 12,54 - Barceló,"Calle Barceló nº 7,",1,209,2
1094,Jesús de Monasterio y Agüeros,Monumento de la ciudad de Madrid,C Bailén 11,24 - Palacio de Oriente,Calle Carlos III nº 1,1,335,4
1096,Joaquín Costa,Monumento de la ciudad de Madrid,Pº Pontones 8,236 - Paseo Imperial,Paseo Imperial nº 20,4,379,4
1095,Joaquín Costa,Monumento de la ciudad de Madrid,C Barquillo 11,20a - Banco de España A,Calle Alcalá nº 49,5,201,2
1097,Joaquín Ibarra,Monumento de la ciudad de Madrid,C Núñez de Arce 11,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,118,1
1098,Joaquín Turina,Monumento de la ciudad de Madrid,C Alfonso XII 7,65 - Antonio Maura,Calle Antonio Maura nº 15,1,218,2
1099,Jose Gomez 'Gallito',Monumento de la ciudad de Madrid,C Arrieta 14,24 - Palacio de Oriente,Calle Carlos III nº 1,1,169,2
1100,Jose Martí,Monumento de la ciudad de Madrid,PASEO LA HABANA 9,150 - Castellana frente a Hermanos Pinzón,"Paseo de la Castellana nº 122,",5,163,2
1101,Jose María Roquero Vera,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 38,246 - Santa Engracia 87,Calle Santa Engracia nº 87,7,153,1
1102,Josefina Romo,Monumento de la ciudad de Madrid,C Arrieta 14,24 - Palacio de Oriente,Calle Carlos III nº 1,1,170,2
1103,José  Serrano Simeón,Monumento de la ciudad de Madrid,C Beneficencia 2,54 - Barceló,"Calle Barceló nº 7,",1,118,1
1104,José Agustín Pérez del Pulgar,Monumento de la ciudad de Madrid,C San Jaime 21,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,394,4
1105,José Anselmo Clavé,Monumento de la ciudad de Madrid,C José Anselmo Clavé 1,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,515,6
1106,José Antonio Primo de Rivera,Monumento de la ciudad de Madrid,C Génova 24,26 - Plaza de las Salesas,"Plaza de las Salesas 7,",6,310,3
1108,José Calvo Sotelo,Monumento de la ciudad de Madrid,PLAZA CASTILLA 1,209 - Plaza de Castilla 2,"Paseo Castellana (Fundación Canal),",7,157,1
1107,José Calvo Sotelo,Monumento de la ciudad de Madrid,C Velázquez 89,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,23,0
1110,José Cubero (Yiyo),Monumento de la ciudad de Madrid,CALLE SAN MARIANO 37,"517 - Calle San Mariano, 58","Calle San Mariano, 58,",8,12,0
1109,José Cubero (Yiyo),Monumento de la ciudad de Madrid,CALLE ALCALA 231,187 - Alcalá-Ventas,Calle Alejandro González nº 1,3,89,1
1111,José Echegaray y Eizaguirre,Monumento de la ciudad de Madrid,C Huertas 24,41 - Antón Martín,Calle Atocha nº 54,1,166,2
1112,José García Vara,Monumento de la ciudad de Madrid,C Arrieta 4,24 - Palacio de Oriente,Calle Carlos III nº 1,1,110,1
1113,José Gervasio Artigas,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,2,279,3
1114,José Luis Pinto Álvarez,Monumento de la ciudad de Madrid,Me Mercado Mercamadrid ,"419 - Calle Puerto de Balbaran, 10","Calle Puerto de Balbaran, 10,",7,1863,23
1115,José López Silva,Monumento de la ciudad de Madrid,C Cava Baja 42,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,118,1
1116,José Martí,Monumento de la ciudad de Madrid,C Desengaño ,211 - Desengaño,Calle Desengaño nº 1,1,143,1
1117,José María Iparraguirre,Monumento de la ciudad de Madrid,C Montera 48,211 - Desengaño,Calle Desengaño nº 1,1,139,1
1118,José María Soler y Guijarro,Monumento de la ciudad de Madrid,Pza Mayor 27,31 - Calle Mayor,Calle Mayor nº 20,2,64,0
1119,José María Torrijos,Monumento de la ciudad de Madrid,C Preciados 30,22 - Jacometrezo,Calle Jacometrezo nº 3,1,52,0
1120,José María de la Cruz,Monumento de la ciudad de Madrid,C San Jaime 21,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,429,5
1121,José Nogales,Monumento de la ciudad de Madrid,CALLE SANTA ENGRACIA 50,246 - Santa Engracia 87,Calle Santa Engracia nº 87,7,241,3
1123,José Ortega y Gasset,Monumento de la ciudad de Madrid,PLAZA MENENDEZ PELAYO 4,261 - Facultad Derecho,Avenida Complutense nº 23,2,179,2
1122,José Ortega y Gasset,Monumento de la ciudad de Madrid,CALLE ALFONSO XII 4,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,3,110,1
1124,José Padilla,Monumento de la ciudad de Madrid,C Gabriel Abreu 11,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,121,1
1125,José Rizal,Monumento de la ciudad de Madrid,C Manuel Fernández y González 7,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,127,1
1126,José Rizal Mercado,Monumento de la ciudad de Madrid,CALLE SANTANDER 1,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,3,545,6
1127,José Salamanca de Mayol (marqués de Salamanca),Monumento de la ciudad de Madrid,Pza Marqués de Salamanca ,186 - General Pardiñas,Calle General Pardiñas nº 56,3,181,2
1128,José Zorrilla,Monumento de la ciudad de Madrid,C Santa Teresa 2,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,1,220,2
1129,José Zorrilla y Moral,Monumento de la ciudad de Madrid,C Huertas 17,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,121,1
1130,José de Espronceda,Monumento de la ciudad de Madrid,C Huertas 80,27 - Huertas,Calle Jesús nº 1,4,136,1
1131,José de San Martín,Monumento de la ciudad de Madrid, ,112 - Paseo de Moret,Paseo de Moret nº 11,2,503,6
1132,José de San Martín,Monumento de la ciudad de Madrid,C Martín Fierro ,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,390,4
1133,Joven Bailando,Monumento de la ciudad de Madrid,C Palma 49,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64,1,182,2
1134,Joven Caminando,Monumento de la ciudad de Madrid,Pza San Ildefonso ,55 - Plaza de San Ildefonso,Plaza de San Ildefonso,8,26,0
1135,Juan Carlos I,Monumento de la ciudad de Madrid,Avda Pablo Neruda 142,"420 - Calle de Candilejas, 5","Calle de Candilejas, 5,",1,81,1
1136,Juan Domingo Perón,Monumento de la ciudad de Madrid,AVENIDA GENERAL PERON 1,152 - General Perón 1,"Avenida del General Perón frente al nº 4,",3,80,1
1137,Juan Ferreras García,Monumento de la ciudad de Madrid,Pza San Andrés ,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,94,1
1138,Juan Gris,Monumento de la ciudad de Madrid,C Carmen 4,56 - Plaza del Carmen ,Plaza del Carmen nº 1,1,109,1
1139,Juan López de Hoyos,Monumento de la ciudad de Madrid,Pza San Andrés ,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,80,1
1140,Juan Malasaña,Monumento de la ciudad de Madrid,C Sierra Gorda 13,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,366,4
1141,Juan Pablo Duarte y Díez,Monumento de la ciudad de Madrid, ,112 - Paseo de Moret,Paseo de Moret nº 11,2,253,3
1142,Juan Pablo II,Monumento de la ciudad de Madrid,C Bailén ,36 - Plaza Ramales,Plaza de Ramales,1,289,3
1143,Juan Ramón Gómez Pamo,Monumento de la ciudad de Madrid,C Santa Isabel 28,42 - Santa Isabel,"Calle Atocha nº 95,",2,23,0
1144,Juan Ramón Jiménez,Monumento de la ciudad de Madrid,C Padilla 38,186 - General Pardiñas,Calle General Pardiñas nº 56,3,367,4
1145,Juan Santamaría,Monumento de la ciudad de Madrid,Pza Juan Santamaría ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,176,2
1146,Juan Valera,Monumento de la ciudad de Madrid,Pº Recoletos ,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,131,1
1147,Juan Valera y Alcalá Galiano,Monumento de la ciudad de Madrid,Ctra Santo Domingo 3,24 - Palacio de Oriente,Calle Carlos III nº 1,1,179,2
1148,Juan Van-Halen y Sarti,Monumento de la ciudad de Madrid,Pº Colombia ,102 - Velázquez,Calle Alcalá nº 95,1,275,3
1149,Juan de Garay,Monumento de la ciudad de Madrid,C Martín Fierro ,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,395,4
1151,Juan de Villanueva,Monumento de la ciudad de Madrid,Pº Camoens y Valero ,112 - Paseo de Moret,Paseo de Moret nº 11,2,340,4
1150,Juan de Villanueva,Monumento de la ciudad de Madrid,C Hernán Cortés 15,6 - Colegio Arquitectos,Calle Hortaleza nº 63,4,153,1
1152,Juan de la Cosa,Monumento de la ciudad de Madrid,PLAZA JUAN DE LA COSSA ,160 - Colombia,Calle Colombia nº 7,2,338,4
1153,Juantxu Rodríguez,Monumento de la ciudad de Madrid, ,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,2,181,2
1154,Julio Cejador,Monumento de la ciudad de Madrid,GLORIETA QUEVEDO 6,200 - Quevedo,Glorieta de Quevedo nº 5,4,32,0
1155,Julio Romero de Torres,Monumento de la ciudad de Madrid,Pº Julio Romero de Torres ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,456,5
1156,Julián Besteiro,Monumento de la ciudad de Madrid,AVENIDA DOCTOR ARCE 31,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",7,197,2
1157,Julián Gayarre,Monumento de la ciudad de Madrid,CALLE PAVIA 2,24 - Palacio de Oriente,Calle Carlos III nº 1,1,154,1
1158,Julián Gayarre,Monumento de la ciudad de Madrid,PLAZA ORIENTE 6,24 - Palacio de Oriente,Calle Carlos III nº 1,1,97,1
1159,Junta Municipal Usera,Monumento de la ciudad de Madrid,Avda Rafaela Ybarra 41,"391 - Calle Rafaela Ybarra, 22","Calle Rafaela Ybarra, 22,Comunidad de Madrid España",3,114,1
1160,Junta Municipal de Chamartín,Monumento de la ciudad de Madrid,CALLE PRINCIPE DE VERGARA 142,146 - María Francisca 1,"Calle María Francisca nº 3,",3,112,1
1161,Junta Municipal de Moratalaz,Monumento de la ciudad de Madrid,C Fuente Carrantona 8,221 - Pavones,Calle Hacienda de Pavones nº 342,9,297,3
1162,Justo Arosemena,Monumento de la ciudad de Madrid,Pº Panamá ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,243,3
1163,Km. 0,Monumento de la ciudad de Madrid,Pza Puerta del Sol 8,33 - Carretas,Calle Carretas nº 8,1,82,1
1164,Kymaerxthaere. Puerta de entrada a la umbraesfera,Monumento de la ciudad de Madrid,Pza Soledad Torres Acosta ,2 - Miguel Moya,Calle Miguel Moya nº 1,3,94,1
1165,La Abuela rockera-Ángeles Rodríguez Hidalgo,Monumento de la ciudad de Madrid,C Peña Gorbea ,227 - Concordia,Calle Arroyo del Olivar nº 6,2,170,2
1166,La Agricultura,Monumento de la ciudad de Madrid,PASEO ERMITA DEL SANTO 78,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,486,6
1167,La Ayuda,Monumento de la ciudad de Madrid,C Pléyades 25,261 - Facultad Derecho,Avenida Complutense nº 23,2,6252,78
1168,La Ciudad Lineal,Monumento de la ciudad de Madrid,C Hermanos García Noblejas 14,"477 - Misterios, 1","Misterios,1,",2,282,3
1169,La Colegiala,Monumento de la ciudad de Madrid,Avda Poblados ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2709,33
1170,La Dama del Manzanares,Monumento de la ciudad de Madrid,CALLE EMBAJADORES 320,"265 - Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",2,917,11
1171,La Familia,Monumento de la ciudad de Madrid,Avda Oporto ,"352 - Calle Algorta, 2","Calle Algorta, 2,",3,637,7
1172,La Flecha,Monumento de la ciudad de Madrid,Avda Vía Lusitana ,"355 - Calle de la Via, 52","Calle de la Via,",6,334,4
1173,La Fuente,Monumento de la ciudad de Madrid,Pza Asociación ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,522,6
1174,La Fuente y el Río,Monumento de la ciudad de Madrid,C Serrano ,105 - Serrano,Calle Serrano nº 54,2,266,3
1175,La Gloria,Monumento de la ciudad de Madrid,Gta Cádiz ,213 - Glorieta de Cádiz,Calle Antonio López nº 129,6,137,1
1176,La Mano,Monumento de la ciudad de Madrid,PLAZA SAN JUAN DE LA CRUZ 1,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,76,0
1177,La Mensajera,Monumento de la ciudad de Madrid,C Olivo 27,261 - Facultad Derecho,Avenida Complutense nº 23,2,5905,73
1178,La Paloma,Monumento de la ciudad de Madrid,C Guabairo 1,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,1566,19
1179,La Paloma de la paz,Monumento de la ciudad de Madrid,C Baleares ,"393 - Manuel Noya , 29","Manuel Noya , 29,",14,594,7
1180,La Paz,Monumento de la ciudad de Madrid,Pº Castellana 261,217 - Pedro Rico,Calle Pedro Rico nº 4,2,165,2
1181,La Solidaridad,Monumento de la ciudad de Madrid,C Atocha 43,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,127,1
1182,La Vicalvarada,Monumento de la ciudad de Madrid,PASEO ARTILLEROS 1,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2013,25
1183,La Violetera,Monumento de la ciudad de Madrid,Pza Gabriel Miró 1,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,209,2
1184,La Virgen blanca,Monumento de la ciudad de Madrid,C Pío Felipe 12,"426 - Calle Humanes, 3","Calle Humanes, 3,",8,258,3
1185,La petite Faucille,Monumento de la ciudad de Madrid,PASEO CASTELLANA 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,309,3
1186,Lagasca,Monumento de la ciudad de Madrid,Pza Murillo 2,81 - Cuesta de Moyano,Cuesta de Claudio Moyano,1,206,2
1187,Lago Palomeras Este,Monumento de la ciudad de Madrid, ,"435 - Calle San Claudio, 154","Calle San Claudio, 154,",2,631,7
1188,Lago artificial en el parque Cuña Verde,Monumento de la ciudad de Madrid,PARQUE CUÑA VERDE ,223 - Ermita Santo,Paseo de la Ermita del Santo nº 48,1,179,2
1189,Lago de la Casa de Campo,Monumento de la ciudad de Madrid,ESTACION DE METRO LAGO ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,690,8
1190,Lago de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
1191,Lago-ría-canal-estanque del parque Cuña Verde,Monumento de la ciudad de Madrid,C Casalarreina s/n,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,1372,17
1192,Lapida prohibición (fachada convento de la Encarnación),Monumento de la ciudad de Madrid,Pza Encarnación 1,24 - Palacio de Oriente,Calle Carlos III nº 1,1,218,2
1193,Las Lecturas del Dos de Mayo,Monumento de la ciudad de Madrid,Pza Dos de Mayo ,4 - Malasaña,Calle Manuela Malasaña nº 5,1,265,3
1194,Laurel y Madroño,Monumento de la ciudad de Madrid,GLORIETA SARDANA ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,486,6
1195,Lazo Homenaje lucha contra el Sida,Monumento de la ciudad de Madrid,Pza Vázquez de Mella ,18 - Plaza de Pedro Zerolo,"Plaza de Pedro Zerolo nº 1,",3,53,0
1196,Leandro Fernández de Moratín,Monumento de la ciudad de Madrid,CALLE HUERTAS 72,27 - Huertas,Calle Jesús nº 1,4,39,0
1197,Leandro Fernández de Moratín,Monumento de la ciudad de Madrid,CALLE MORATIN 35,27 - Huertas,Calle Jesús nº 1,4,91,1
1198,Lecheras,Monumento de la ciudad de Madrid,CALLE FRANCOS RODRIGUEZ 42,239 - Francos Rodríguez,Calle Francos Rodríguez nº 62,10,290,3
1199,Leda y el cisne,Monumento de la ciudad de Madrid,CALLE VILLABLANCA 41,"501 - Hermanos Garcia Noblejas, 133","Hermanos Garcia Noblejas, 133,",15,2549,31
1200,Leonardo Torres Quevedo,Monumento de la ciudad de Madrid,C Válgame Dios 3,58 - Augusto Figueroa,"Calle Augusto Figueroa nº 33,",5,132,1
1201,Leones del Congreso de los Diputados,Monumento de la ciudad de Madrid,Pza Cortes 1,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,121,1
1202,Leovigildo,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,130,1
1203,León Felipe,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,118,1
1204,León Felipe,Monumento de la ciudad de Madrid,C Huertas 58,27 - Huertas,Calle Jesús nº 1,4,90,1
1205,León Felipe,Monumento de la ciudad de Madrid,C Huertas 64,27 - Huertas,Calle Jesús nº 1,4,110,1
1206,Lhardy,Monumento de la ciudad de Madrid,Ctra San Jerónimo 8,33 - Carretas,Calle Carretas nº 8,1,194,2
1207,Lina Morgan,Monumento de la ciudad de Madrid,C Don Pedro 4,38 - Plaza de los Carros,"Carrera de San Francisco nº 1,",1,39,0
1208,Linotipia,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,360,4
1209,Llama al Valor y Heroísmo,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,561,7
1210,Llama del Perú,Monumento de la ciudad de Madrid,PASEO CASTELLANA 140,149 - Paseo de la Habana 42,"Paseo de la Habana nº 42,",10,305,3
1211,Llanto por Ignacio Sánchez Mejías,Monumento de la ciudad de Madrid,Pº Federico García Lorca ,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,667,8
1212,Lola Membrives,Monumento de la ciudad de Madrid,C Lola Membrives 1,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5,156,1
1213,Lope de Vega,Monumento de la ciudad de Madrid,C Cervantes 11,27 - Huertas,Calle Jesús nº 1,4,226,2
1214,Lope de Vega,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,86,1
1215,Loreto Prado (réplica),Monumento de la ciudad de Madrid,PLAZA CHAMBERI 1,124 - Manuel Silvela,Calle Manuel Silvela nº 20,1,289,3
1216,Los Maratonistas,Monumento de la ciudad de Madrid,C Martín Fierro s/n,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,325,4
1217,Los Paseantes,Monumento de la ciudad de Madrid,C Peña Gorbea ,179 - Puente de Vallecas,Avenida de la Albufera nº 6,2,266,3
1218,Los Pegasos,Monumento de la ciudad de Madrid,Pza Legazpi ,177 - Legazpi,"Calle Bolívar nº 3,",1,96,1
1219,Los portadores de la antorcha,Monumento de la ciudad de Madrid,Pza Ramón y Cajal ,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,101,1
1220,Losas de bronce sobre pavimento en la plaza Dalí,Monumento de la ciudad de Madrid,Pza Dalí ,98 - Plaza de Felipe II,Plaza de Felipe II,1,52,0
1221,Lucas Aguirre,Monumento de la ciudad de Madrid,C Alcalá 62,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,177,2
1222,Luchador en reposo,Monumento de la ciudad de Madrid,Pza Constitución ,"416 - Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",14,407,5
1223,Lugar de Encuentros I,Monumento de la ciudad de Madrid,C Castelló 77,186 - General Pardiñas,Calle General Pardiñas nº 56,3,408,5
1224,Lugar de Encuentros II,Monumento de la ciudad de Madrid,Pza Rey ,20a - Banco de España A,Calle Alcalá nº 49,5,176,2
1225,Luigi Boccherini,Monumento de la ciudad de Madrid,C Jesús y María 3,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,1,236,2
1226,Luigi Boccherini,Monumento de la ciudad de Madrid,Gta Boccherini ,167 - Segovia 45,Calle Segovia nº 45,22,237,2
1227,Luis Calvo Sotelo,Monumento de la ciudad de Madrid,Pza Dos de Mayo ,4 - Malasaña,Calle Manuela Malasaña nº 5,1,277,3
1228,Luis Carrero Blanco,Monumento de la ciudad de Madrid,CALLE CLAUDIO COELLO 129,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,222,2
1229,Luis Fernández Ardavín,Monumento de la ciudad de Madrid,Pza Poeta Manuel del Palacio 4,136 - Castellana 106,Paseo de la Castellana nº 106,1,256,3
1230,Luis Guillermo Schultz Schreizer,Monumento de la ciudad de Madrid,CALLE RIOS ROSAS 21,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,3,409,5
1231,Luis I de España,Monumento de la ciudad de Madrid,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,1,144,1
1232,Luis Manuel López Martínez,Monumento de la ciudad de Madrid,Pza Caudillo 5,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,8936,111
1233,Luis Muñoz Rivera,Monumento de la ciudad de Madrid,C Mayor 13,31 - Calle Mayor,Calle Mayor nº 20,2,75,0
1234,Luis Rosales,Monumento de la ciudad de Madrid,CALLE ALTAMIRANO 34,117 - Altamirano,Calle Altamirano nº 24,1,109,1
1235,Luis Vives,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,91,1
